 | Origin: Brussels |  Destination: Budapest | Date of the flight: 2019-06-20 | Departure time: 17:30 | Arrival time: 19:30 | Airplain make: Airbus | Airplain model: A330 Capacity: 335 seats | Pilot name: Ivan Montgomery | Pilot rating: 3
 | Origin: Rome |  Destination: London | Date of the flight: 2019-06-10 | Departure time: 13:30 | Arrival time: 16:30 | Airplain make: Boeing | Airplain model: 747 Capacity: 400 seats | Pilot name: Gayle Gomez | Pilot rating: 4
 | Origin: Dublin |  Destination: Lisbon | Date of the flight: 2019-06-26 | Departure time: 12:30 | Arrival time: 15:30 | Airplain make: Boeing | Airplain model: 747 Capacity: 400 seats | Pilot name: Peter Hartman | Pilot rating: 3
 | Origin: Berlin |  Destination: Lisbon | Date of the flight: 2019-06-24 | Departure time: 7:30 | Arrival time: 11:30 | Airplain make: Boeing | Airplain model: 777 Capacity: 396 seats | Pilot name: Beryl Travis | Pilot rating: 4
 | Origin: Vienna |  Destination: Copenhagen | Date of the flight: 2019-06-23 | Departure time: 14:30 | Arrival time: 16:30 | Airplain make: Boeing | Airplain model: 737 Capacity: 230 seats | Pilot name: Kelli Williamson | Pilot rating: 3
 | Origin: Vienna |  Destination: Edinburgh | Date of the flight: 2019-06-13 | Departure time: 14:30 | Arrival time: 19:30 | Airplain make: Boeing | Airplain model: 747 Capacity: 400 seats | Pilot name: Grady Rasmussen | Pilot rating: 3
 | Origin: Amsterdam |  Destination: Copenhagen | Date of the flight: 2019-06-16 | Departure time: 6:30 | Arrival time: 7:30 | Airplain make: Airbus | Airplain model: A220 Capacity: 160 seats | Pilot name: Rudy Marquez | Pilot rating: 1
 | Origin: Madrid |  Destination: London | Date of the flight: 2019-06-22 | Departure time: 15:30 | Arrival time: 17:30 | Airplain make: Boeing | Airplain model: 747 Capacity: 400 seats | Pilot name: Grady Rasmussen | Pilot rating: 3
 | Origin: Vienna |  Destination: Barcelona | Date of the flight: 2019-06-08 | Departure time: 14:30 | Arrival time: 16:30 | Airplain make: Boeing | Airplain model: 737 Capacity: 230 seats | Pilot name: Kelli Williamson | Pilot rating: 3
 | Origin: Paris |  Destination: Barcelona | Date of the flight: 2019-06-02 | Departure time: 6:30 | Arrival time: 8:30 | Airplain make: Boeing | Airplain model: 777 Capacity: 396 seats | Pilot name: Alyssa Hancock | Pilot rating: 3
 | Origin: Vienna |  Destination: Barcelona | Date of the flight: 2019-06-08 | Departure time: 10:30 | Arrival time: 12:30 | Airplain make: Boeing | Airplain model: 747 Capacity: 400 seats | Pilot name: Lilly Prince | Pilot rating: 3
 | Origin: Rome |  Destination: Barcelona | Date of the flight: 2019-06-18 | Departure time: 15:30 | Arrival time: 17:30 | Airplain make: Boeing | Airplain model: 747 Capacity: 400 seats | Pilot name: Zack Payne | Pilot rating: 3
 | Origin: Vienna |  Destination: Milan | Date of the flight: 2019-06-13 | Departure time: 11:30 | Arrival time: 13:30 | Airplain make: Boeing | Airplain model: 777 Capacity: 396 seats | Pilot name: Beryl Travis | Pilot rating: 4
 | Origin: Madrid |  Destination: Milan | Date of the flight: 2019-06-16 | Departure time: 19:30 | Arrival time: 21:30 | Airplain make: Airbus | Airplain model: A220 Capacity: 160 seats | Pilot name: Clifford Tapia | Pilot rating: 4
